Color Display Locator,Color Number,Color Name,CBG Legacy Color Name,Color Name (Canada - English),Color Name (Canada - French),Color Collection,CBG NA Color Family Name,LRV Notation Number,RGB-1 Red Color Value,RGB-2 Green Color Value,RGB-3 Blue Color Value,Hex Value,Color Sample sRGB,CMYK-1 Cyan Color Value,CMYK-2 Magenta Color Value,CMYK-3 Yellow Color Value,CMYK-4 Black Color Value,Freezer name,Channel,Color Description
NV213D,2004-5C,Laredo,,Laredo,Laredo,,Oranges,34,212,142,104,D48E68,,0,33,51,17,FVUP2004-5C,Lowe's,
NV213E,2004-5B,Clove Bud,,Clove Bud,Clou de girofle,,Oranges,26,196,121,84,C47954,,0,38,57,23,FVUP2004-5B,Lowe's,
NV213F,2004-5A,Bear Claw,,Bear Claw,Griffe d'ours,,Oranges,17,171,96,63,AB603F,,0,44,63,33,FVUP2004-5A,Lowe's,
NV213G,2011-6,Cowboy Suede,,Toasted Nutmeg,Muscade rôtie,,Oranges,8,118,66,45,76422D,,0,44,62,54,FVUP2011-6,Lowe's,
NV214A,8002-14A,Peaches and Cream,,Peaches and Cream,Pêches et crème,,Oranges,74,247,218,193,F7DAC1,,0,12,22,3,FNVL2018_1,Lowe's,
NV214B,8002-14B,Peanut,,Peanut,Arachide,,Oranges,58,240,191,155,F0BF9B,,0,20,35,6,FNVL2018_2,Lowe's,
NV214C,8002-14C,Melting Sunset,,Melting Sunset,Coucher de soleil fondant,,Oranges,51,236,178,138,ECB28A,,0,25,42,7,FNVL2018_3,Lowe's,
NV214D,2007-5C,Peach Ice Cream,,Peach Ice Cream,Crème glacée à la pêche,,Oranges,39,221,153,113,DD9971,,0,31,49,13,FVUP2007-5C,Lowe's,
NV214E,2007-5B,Longhorn,,Longhorn,Longhorn,,Oranges,34,216,140,95,D88C5F,,0,35,56,15,FVUP2007-5B,Lowe's,
NV214F,2007-5A,Cattle Drive,,Cattle Drive,Promenade de bétail,,Oranges,22,184,110,74,B86E4A,,0,40,60,28,FVUP2007-5A,Lowe's,
NV214G,3011-6,Toffee Glaze,,Toffee Glaze,Glaçage au caramel,,Oranges,13,152,83,48,985330,,0,45,68,40,FVUP3011-6,Lowe's,
NV215A,2007-6C,Sweet Sand,,Sweet Sand,Sable doux,,Oranges,79,244,227,206,F4E3CE,,0,7,16,4,FVUP2007-6C,Lowe's,
NV215B,3001-4B,Peach Butter,,Peach Butter,Beurre de pêche,,Oranges,69,252,209,164,FCD1A4,,0,17,35,1,FVUP3001-4B,Lowe's,
NV215C,3001-4A,Almond Butter,,Almond Butter,Beurre d'amandes,,Oranges,58,245,190,134,F5BE86,,0,22,45,4,FVUP3001-4A,Lowe's,
NV215D,3001-5C,Spun Gold,,Spun Gold,Fil d’or,,Oranges,52,238,179,119,EEB377,,0,25,50,7,FVUP3001-5C,Lowe's,
